-10.00000000 -0.00883169 0.01200000
-9.59183673 -0.00013210 0.01159184
-9.18367347 0.00852781 0.01118367
-8.77551020 -0.01266085 0.01077551
-8.36734694 0.00999309 0.01036735
-7.95918367 0.01186520 0.00995918
-7.55102041 -0.01066796 0.00955102
-7.14285714 0.00144074 0.00914286
-6.73469388 0.01217763 0.00873469
-6.32653061 0.00121590 0.00832653
-5.91836735 0.00187981 0.00791837
-5.51020408 0.00254904 0.00751020
-5.10204082 0.01528427 0.00710204
-4.69387755 0.01076080 0.00669388
-4.28571429 0.03122754 0.00628571
-3.87755102 0.04245070 0.00587755
-3.46938776 0.04817889 0.00546939
-3.06122449 0.07458724 0.00506122
-2.65306122 0.09161740 0.00465306
-2.24489796 0.11218157 0.00424490
-1.83673469 0.13005735 0.00383673
-1.42857143 0.15086774 0.00342857
-1.02040816 0.16142593 0.00302041
-0.61224490 0.17359390 0.00261224
-0.20408163 0.17595251 0.00220408
0.20408163 0.17976150 0.00220408
0.61224490 0.17592273 0.00261224
1.02040816 0.15965044 0.00302041
1.42857143 0.14220927 0.00342857
1.83673469 0.12739336 0.00383673
2.24489796 0.10620344 0.00424490
2.65306122 0.09113504 0.00465306
3.06122449 0.06800626 0.00506122
3.46938776 0.05780999 0.00546939
3.87755102 0.03537848 0.00587755
4.28571429 0.02312291 0.00628571
4.69387755 0.00983604 0.00669388
5.10204082 0.00734289 0.00710204
5.51020408 0.00842350 0.00751020
5.91836735 0.00046767 0.00791837
6.32653061 -0.01580550 0.00832653
6.73469388 0.00920267 0.00873469
7.14285714 0.00194966 0.00914286
7.55102041 0.00135155 0.00955102
7.95918367 0.00431068 0.00995918
8.36734694 -0.00146847 0.01036735
8.77551020 -0.00867386 0.01077551
9.18367347 0.00502450 0.01118367
9.59183673 -0.00616623 0.01159184
10.00000000 -0.00824473 0.01200000
